"ANNEX1_NCBI_TAXID","ANNEX1_NCBI_NAMES","NCBI_GENUS_SUB_TAXID","NCBI_GENUS_SUB_NAMES"
2706,"Citrus",2708,"Citrus limon"
2706,"Citrus",2709,"Citrus cavaleriei"
2706,"Citrus",2711,"Citrus sinensis"
2706,"Citrus",37334,"Citrus maxima"
2706,"Citrus",37656,"Citrus x paradisi"
2706,"Citrus",37690,"Citrus trifoliata"
2706,"Citrus",43166,"Citrus aurantium"
2706,"Citrus",55188,"Citrus unshiu"
2706,"Citrus",64884,"Citrus jambhiri"
2706,"Citrus",76963,"Citrus glauca"
2706,"Citrus",76966,"Citrus japonica"
2706,"Citrus",79217,"Citrus iyo"
2706,"Citrus",85571,"Citrus reticulata"
2706,"Citrus",85681,"Citrus clementina"
2706,"Citrus",93374,"Citrus clementina x Citrus reticulata"
2706,"Citrus",105581,"Citrus sinensis x Citrus trifoliata"
2706,"Citrus",109792,"Citrus natsudaidai"
2706,"Citrus",135197,"Citrus junos"
2706,"Citrus",136400,"Citrus sinensis x Citrus reticulata"
2706,"Citrus",159033,"Citrus aurantiifolia"
2706,"Citrus",159041,"Citrus hindsii"
2706,"Citrus",164113,"Citrus x microcarpa"
2706,"Citrus",170988,"Citrus latipes"
2706,"Citrus",170989,"Citrus hystrix"
2706,"Citrus",171249,"Citrus limonia"
2706,"Citrus",171250,"Citrus hybrid cultivar"
2706,"Citrus",171251,"Citrus medica"
2706,"Citrus",171252,"Citrus reshni"
2706,"Citrus",171253,"Citrus limonimedica"
2706,"Citrus",171254,"Citrus volkameriana"
2706,"Citrus",197943,"Citrus cv. Murcott x Citrus aurantium"
2706,"Citrus",200541,"Citrus latifolia"
2706,"Citrus",200542,"Citrus limettioides"
2706,"Citrus",200544,"Citrus tachibana"
2706,"Citrus",206422,"Citrus maxima x Citrus trifoliata"
2706,"Citrus",229629,"unclassified Citrus"
2706,"Citrus",229630,"Citrus x tangelo"
2706,"Citrus",231466,"Citrus swinglei"
2706,"Citrus",231467,"Citrus garrawayi"
2706,"Citrus",237567,"Citrus benikoji"
2706,"Citrus",237568,"Citrus erythrosa"
2706,"Citrus",237569,"Citrus leiocarpa"
2706,"Citrus",237570,"Citrus nippokoreana"
2706,"Citrus",237571,"Citrus platymamma"
2706,"Citrus",237572,"Citrus pseudogulgul"
2706,"Citrus",237573,"Citrus sulcata"
2706,"Citrus",237574,"Citrus sunki"
2706,"Citrus",237575,"Citrus tangerina"
2706,"Citrus",290854,"Citrus meyeri"
2706,"Citrus",307630,"Citrus macrophylla"
2706,"Citrus",307631,"Citrus clementina x Citrus tangerina"
2706,"Citrus",309804,"Citrus x paradisi x Citrus trifoliata"
2706,"Citrus",322160,"Citrus reticulata x Citrus temple"
2706,"Citrus",341930,"Citrus celebica"
2706,"Citrus",341931,"Citrus indica"
2706,"Citrus",341932,"Citrus macroptera"
2706,"Citrus",341933,"Citrus micrantha"
2706,"Citrus",341934,"Citrus australis"
2706,"Citrus",341935,"Citrus x paradisi x Citrus sinensis"
2706,"Citrus",341936,"Citrus southwickii"
2706,"Citrus",349445,"Citrus mangshanensis"
2706,"Citrus",380129,"Citrus bergamia"
2706,"Citrus",408488,"Citrus kinokuni"
2706,"Citrus",414734,"Citrus karna"
2706,"Citrus",414735,"Citrus limetta"
2706,"Citrus",414736,"Citrus megaloxycarpa"
2706,"Citrus",416191,"Citrus gracilis"
2706,"Citrus",416192,"Citrus halimii"
2706,"Citrus",416194,"Citrus myrtifolia"
2706,"Citrus",416195,"Citrus obovoidea"
2706,"Citrus",416196,"Citrus australasica"
2706,"Citrus",416197,"Citrus inodora"
2706,"Citrus",416198,"Citrus wintersii"
2706,"Citrus",416199,"Citrus warburgiana"
2706,"Citrus",418149,"Citrus maxima x Citrus medica"
2706,"Citrus",475932,"Citrus wilsonii"
2706,"Citrus",476923,"Citrus pseudolimon"
2706,"Citrus",481546,"Citrus amblycarpa"
2706,"Citrus",481547,"Citrus hanaju"
2706,"Citrus",481548,"Citrus longispina"
2706,"Citrus",481549,"Citrus nobilis"
2706,"Citrus",481550,"Citrus webberi"
2706,"Citrus",488171,"Citrus hassaku"
2706,"Citrus",488172,"Citrus tamurana"
2706,"Citrus",496653,"Citrus hongheensis"
2706,"Citrus",496654,"Citrus macrosperma"
2706,"Citrus",552470,"Citrus nobilis x Citrus kinokuni"
2706,"Citrus",558540,"Citrus reticulata x Citrus unshiu"
2706,"Citrus",558543,"Citrus montana"
2706,"Citrus",558544,"Citrus neoaurantium"
2706,"Citrus",558546,"Citrus sudachi"
2706,"Citrus",558547,"Citrus deliciosa"
2706,"Citrus",558548,"Citrus tumida"
2706,"Citrus",650012,"Citrus sphaerocarpa"
2706,"Citrus",662765,"Citrus maxima x Citrus paradisi"
2706,"Citrus",679626,"Citrus limon x Citrus reticulata"
2706,"Citrus",697036,"Citrus depressa"
2706,"Citrus",713889,"Citrus sunki x Citrus trifoloata"
2706,"Citrus",941396,"Citrus reticulata x Citrus trifoliata"
2706,"Citrus",1008978,"Citrus suhuiensis"
2706,"Citrus",1008979,"Citrus genshokan"
2706,"Citrus",1008980,"Citrus tankan"
2706,"Citrus",1008981,"Citrus yatsushiro"
2706,"Citrus",1008982,"Citrus tarogayo"
2706,"Citrus",1008983,"Citrus keraji"
2706,"Citrus",1008984,"Citrus oto"
2706,"Citrus",1056106,"Citrus aurantiifolia x Citrus reticulata"
2706,"Citrus",1084239,"Citrus reticulata x Citrus sinensis"
2706,"Citrus",1210921,"Citrus neocaledonica"
2706,"Citrus",1262121,"Citrus takuma-sudachi"
2706,"Citrus",1262122,"Citrus kizu"
2706,"Citrus",1262123,"Citrus yuko"
2706,"Citrus",1262124,"Citrus inflata"
2706,"Citrus",1262125,"Citrus canaliculata"
2706,"Citrus",1263156,"Citrus nanseiensis"
2706,"Citrus",1263157,"Citrus acidoglobosa"
2706,"Citrus",1263158,"Citrus jabara"
2706,"Citrus",1263159,"Citrus yuzukichi"
2706,"Citrus",1450747,"Citrus suavissima"
2706,"Citrus",1540336,"Citrus assamensis"
2706,"Citrus",1603710,"Citrus madurensis"
2706,"Citrus",1684197,"Citrus daoxianensis"
2706,"Citrus",1766678,"Citrus excelsa"
2706,"Citrus",1868278,"(Citrus unshiu x Citrus sinensis) x Citrus reticulata"
2706,"Citrus",1928916,"Citrus clementina x Citrus x tangelo"
2706,"Citrus",2045455,"Citrus glauca x Citrus sinensis"
2706,"Citrus",2116460,"Citrus aurantiifolia x Citrus japonica var. margarita"
2706,"Citrus",2211363,"Citrus unshiu x Citrus sinensis"
2706,"Citrus",2529357,"Citrus maxima x (Citrus limonia x Citrus maxima)"
2706,"Citrus",2604426,"Citrus x polytrifolia"
2706,"Citrus",2676863,"Citrus polytrifolia"
2706,"Citrus",2749025,"Citrus unshiu x Citrus hassaku"
2706,"Citrus",2795131,"Citrus x insitorum"
2706,"Citrus",2834820,"Citrus keraji x Citrus depressa"
2706,"Citrus",2834821,"Citrus maxima x Citrus depressa"
2706,"Citrus",2834822,"Citrus reticulata x Citrus sp. CS-2021"
2706,"Citrus",2834875,"Citrus x rokugatsu"
2708,"Citrus limon",1430428,"Citrus limon var. pompia"
2711,"Citrus sinensis",558545,"Citrus sinensis var. brasiliensis"
3550,"Atriplex",3551,"Atriplex patula"
3550,"Atriplex",3552,"Atriplex rosea"
3550,"Atriplex",3553,"Atriplex nummularia"
3550,"Atriplex",34272,"Atriplex hortensis"
3550,"Atriplex",35922,"Atriplex canescens"
3550,"Atriplex",46090,"Atriplex calotheca"
3550,"Atriplex",55308,"Atriplex garrettii"
3550,"Atriplex",89475,"Atriplex lentiformis"
3550,"Atriplex",118074,"Atriplex gmelinii"
3550,"Atriplex",151219,"Atriplex spongiosa"
3550,"Atriplex",190330,"Atriplex prostrata"
3550,"Atriplex",192999,"Atriplex centralasiatica"
3550,"Atriplex",222565,"Atriplex dimorphostegia"
3550,"Atriplex",240027,"Atriplex coriacea"
3550,"Atriplex",240028,"Atriplex halimus"
3550,"Atriplex",240029,"Atriplex undulata"
3550,"Atriplex",270128,"Atriplex truncata"
3550,"Atriplex",279014,"Atriplex codonocarpa"
3550,"Atriplex",282323,"Atriplex cana"
3550,"Atriplex",310496,"Atriplex glauca"
3550,"Atriplex",325519,"Atriplex laciniata"
3550,"Atriplex",325520,"Atriplex tatarica"
3550,"Atriplex",407265,"Atriplex patens"
3550,"Atriplex",417608,"Atriplex amnicola"
3550,"Atriplex",417609,"Atriplex semibaccata"
3550,"Atriplex",421933,"Atriplex micrantha"
3550,"Atriplex",434241,"Atriplex nitens"
3550,"Atriplex",471188,"Atriplex rhagodioides"
3550,"Atriplex",490641,"Atriplex australasica"
3550,"Atriplex",490642,"Atriplex billardierei"
3550,"Atriplex",490643,"Atriplex buchananii"
3550,"Atriplex",543010,"Atriplex littoralis"
3550,"Atriplex",545657,"Atriplex cinerea"
3550,"Atriplex",545658,"Atriplex hollowayi"
3550,"Atriplex",595354,"Atriplex torreyi"
3550,"Atriplex",671520,"Atriplex suberecta"
3550,"Atriplex",880636,"Atriplex acanthocarpa"
3550,"Atriplex",880637,"Atriplex acutibractea"
3550,"Atriplex",880638,"Atriplex altaica"
3550,"Atriplex",880639,"Atriplex angulata"
3550,"Atriplex",880640,"Atriplex aucheri"
3550,"Atriplex",880641,"Atriplex belangeri"
3550,"Atriplex",880643,"Atriplex confertifolia"
3550,"Atriplex",880644,"Atriplex cordubensis"
3550,"Atriplex",880645,"Atriplex crassifolia"
3550,"Atriplex",880646,"Atriplex davisii"
3550,"Atriplex",880647,"Atriplex deserticola"
3550,"Atriplex",880648,"Atriplex eardleyae"
3550,"Atriplex",880649,"Atriplex elachophylla"
3550,"Atriplex",880650,"Atriplex fissivalvis"
3550,"Atriplex",880651,"Atriplex flabellum"
3550,"Atriplex",880652,"Atriplex gardneri"
3550,"Atriplex",880653,"Atriplex glabriuscula"
3550,"Atriplex",880654,"Atriplex herzogii"
3550,"Atriplex",880655,"Atriplex holocarpa"
3550,"Atriplex",880656,"Atriplex hymenelytra"
3550,"Atriplex",880657,"Atriplex hymenotheca"
3550,"Atriplex",880658,"Atriplex imbricata"
3550,"Atriplex",880659,"Atriplex inamoena"
3550,"Atriplex",880660,"Atriplex intermedia"
3550,"Atriplex",880661,"Atriplex intracontinentalis"
3550,"Atriplex",880662,"Atriplex isatidea"
3550,"Atriplex",880663,"Atriplex laevis"
3550,"Atriplex",880664,"Atriplex lampa"
3550,"Atriplex",880665,"Atriplex latifolia"
3550,"Atriplex",880666,"Atriplex lehmanniana"
3550,"Atriplex",880667,"Atriplex leptocarpa"
3550,"Atriplex",880668,"Atriplex leucoclada"
3550,"Atriplex",880669,"Atriplex leucophylla"
3550,"Atriplex",880670,"Atriplex lindleyi"
3550,"Atriplex",880671,"Atriplex moneta"
3550,"Atriplex",880672,"Atriplex muelleri"
3550,"Atriplex",880673,"Atriplex myriophylla"
3550,"Atriplex",880674,"Atriplex nessorhina"
3550,"Atriplex",880675,"Atriplex nudicaulis"
3550,"Atriplex",880676,"Atriplex oblongifolia"
3550,"Atriplex",880677,"Atriplex obovata"
3550,"Atriplex",880678,"Atriplex pamirica"
3550,"Atriplex",880679,"Atriplex parishii"
3550,"Atriplex",880680,"Atriplex parryi"
3550,"Atriplex",880681,"Atriplex parvifolia"
3550,"Atriplex",880682,"Atriplex patagonica"
3550,"Atriplex",880683,"Atriplex phyllostegia"
3550,"Atriplex",880684,"Atriplex polycarpa"
3550,"Atriplex",880685,"Atriplex powellii"
3550,"Atriplex",880686,"Atriplex pseudocampanulata"
3550,"Atriplex",880687,"Atriplex quinii"
3550,"Atriplex",880688,"Atriplex recurva"
3550,"Atriplex",880689,"Atriplex rusbyi"
3550,"Atriplex",880690,"Atriplex sagittata"
3550,"Atriplex",880691,"Atriplex schugnanica"
3550,"Atriplex",880692,"Atriplex semilunaris"
3550,"Atriplex",880693,"Atriplex serenana"
3550,"Atriplex",880694,"Atriplex sibirica"
3550,"Atriplex",880696,"Atriplex sphaeromorpha"
3550,"Atriplex",880697,"Atriplex spinibractea"
3550,"Atriplex",880698,"Atriplex stipitata"
3550,"Atriplex",880699,"Atriplex sturtii"
3550,"Atriplex",880700,"Atriplex turbinata"
3550,"Atriplex",880701,"Atriplex velutinella"
3550,"Atriplex",880702,"Atriplex vesicaria"
3550,"Atriplex",880708,"Atriplex lanfrancoi"
3550,"Atriplex",912160,"Atriplex peruviana"
3550,"Atriplex",912162,"Atriplex watsonii"
3550,"Atriplex",1155253,"Atriplex longipes"
3550,"Atriplex",1675671,"Atriplex heterosperma"
3550,"Atriplex",1734436,"Atriplex praecox"
3550,"Atriplex",1885363,"Atriplex pratovii"
3550,"Atriplex",1891457,"Atriplex lapponica"
3550,"Atriplex",1918717,"Atriplex prostrata x Atriplex rosea"
3550,"Atriplex",1981210,"Atriplex argentea"
3550,"Atriplex",2038179,"Atriplex prosopidum"
3550,"Atriplex",2039739,"Atriplex maximowicziana"
3550,"Atriplex",2070768,"Atriplex farinosa"
3550,"Atriplex",2071404,"Atriplex dioica"
3550,"Atriplex",2220006,"Atriplex ameghinoi"
3550,"Atriplex",2220007,"Atriplex argentina"
3550,"Atriplex",2220008,"Atriplex asplundii"
3550,"Atriplex",2220009,"Atriplex atacamensis"
3550,"Atriplex",2220010,"Atriplex boecheri"
