"ANNEX1_GENUS","NCBI_SUB_TAXA","NCBI_TAXONOMY_LINK","INCLUDE_APPROVED_SIGN","EXCLUDE_APPROVED_SIGN"
"Artocarpus","Artocarpus heterophyllus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=3489","   ","   "
"Artocarpus","Artocarpus integer","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=3490","   ","   "
" ","   Artocarpus integer var. silvestris","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2219704","   ","   "
"Artocarpus","Artocarpus tonkinensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=3492","   ","   "
"Artocarpus","Artocarpus altilis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=194251","   ","   "
"Artocarpus","Artocarpus sepicanus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=241860","   ","   "
"Artocarpus","Artocarpus hirsutus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=291940","   ","   "
"Artocarpus","Artocarpus vriesianus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=304392","   ","   "
" ","   Artocarpus vrieseanus var. papillosus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675515","   ","   "
" ","   Artocarpus vrieseanus var. refractus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675516","   ","   "
" ","   Artocarpus vrieseanus var. subsessilis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675517","   ","   "
" ","   Artocarpus vriesianus var. vrieseanus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675536","   ","   "
"Artocarpus","Artocarpus lacucha","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=382341","   ","   "
"Artocarpus","Artocarpus anisophyllus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709036","   ","   "
" ","   Artocarpus anisophyllus subsp. anisophyllus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867280","   ","   "
" ","   Artocarpus anisophyllus var. sessilifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1867281","   ","   "
"Artocarpus","Artocarpus annulatus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709037","   ","   "
"Artocarpus","Artocarpus blancoi","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709038","   ","   "
"Artocarpus","Artocarpus camansi","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709039","   ","   "
"Artocarpus","Artocarpus chama","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709040","   ","   "
"Artocarpus","Artocarpus dadah","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709041","   ","   "
"Artocarpus","Artocarpus elasticus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709042","   ","   "
"Artocarpus","Artocarpus excelsus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709043","   ","   "
"Artocarpus","Artocarpus fulvicortex","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709044","   ","   "
"Artocarpus","Artocarpus glaucus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709045","   ","   "
"Artocarpus","Artocarpus hispidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709046","   ","   "
"Artocarpus","Artocarpus kemando","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709047","   ","   "
"Artocarpus","Artocarpus lanceifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709049","   ","   "
" ","   Artocarpus lanceifolius subsp. lanceifolius","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675539","   ","   "
"Artocarpus","Artocarpus lowii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709050","   ","   "
"Artocarpus","Artocarpus maingayi","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709051","   ","   "
"Artocarpus","Artocarpus mariannensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709052","   ","   "
"Artocarpus","Artocarpus nitidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709053","   ","   "
" ","   Artocarpus nitidus subsp. borneensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709054","   ","   "
" ","   Artocarpus nitidus subsp. griffithii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709055","   ","   "
" ","   Artocarpus nitidus subsp. humilis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709056","   ","   "
" ","   Artocarpus nitidus subsp. lingnanensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709057","   ","   "
" ","   Artocarpus nitidus subsp. nitidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675504","   ","   "
"Artocarpus","Artocarpus odoratissimus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709058","   ","   "
"Artocarpus","Artocarpus ovatus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709059","   ","   "
"Artocarpus","Artocarpus petelotii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709060","   ","   "
"Artocarpus","Artocarpus rigidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709061","   ","   "
" ","   Artocarpus rigidus subsp. asperulus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675512","   ","   "
" ","   Artocarpus rigidus subsp. rigidus","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2675541","   ","   "
"Artocarpus","Artocarpus scortechinii","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=709062","   ","   "
